Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
YEGMUV,2017,1.249,0.141,108.97,0.102,1.97,5.58,2.832,1D,[1.2-1.3),[0.1-0.2),[100-150),[0.1-0.2),[1.6-2.2),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGMUV
QEJNAX,2017,1.236,0.338,232.23,0.199,1.97,4.98,2.528,2D,[1.2-1.3),[0.3-0.4),[200-300),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QEJNAX
BARBII,2017,1.239,0.181,22.54,0.083,1.99,4.26,2.141,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BARBII
XEKJOP,2017,1.311,0.139,0.14,0.059,2,4,2,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEKJOP
XASSUI,2017,1.182,0.346,225.12,0.207,2,5.06,2.53,3D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASSUI
FEDZIA,2017,1.537,0.115,15.67,0.043,2.02,4.33,2.144,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEDZIA
JAGSIW,2017,1.097,0.315,39.26,0.229,2.04,4.37,2.142,1D,[1.0-1.1),[0.3-0.4),[0-50),[0.2-0.3),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JAGSIW
NEBTAS,2017,1.393,0.365,158.88,0.209,2.05,5.18,2.527,1D,[1.3-1.4),[0.3-0.4),[150-200),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEBTAS
DEKCEE,2017,1.886,0.243,46.16,0.099,2.06,4.76,2.311,3D,[1.8-2.0),[0.2-0.3),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEKCEE
MEFGEM03,2017,1.169,0.275,0.7,0.226,2.06,4.11,1.995,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[3.9-4.2),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEFGEM03
ZAYWUU,2017,1.295,0.344,31.76,0.201,2.06,4.41,2.141,2D,[1.2-1.3),[0.3-0.4),[0-50),[0.2-0.3),[1.6-2.2),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAYWUU
DAXGER,2017,1.867,0.275,54.91,0.115,2.06,4.39,2.131,1D,[1.8-2.0),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAXGER
MEFGEM04,2017,1.159,0.283,1.86,0.234,2.08,4.16,2,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEFGEM04
UDEGIW,2017,1.26,0.442,179.11,0.239,2.08,4.8,2.308,2D,[1.2-1.3),[0.4-0.5),[150-200),[0.2-0.3),[1.6-2.2),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UDEGIW
ZAYPOH,2017,1.266,0.368,81.19,0.224,2.09,4.84,2.316,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[1.6-2.2),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAYPOH
REJLIE,2017,1.932,0.223,205,0.097,2.11,6.89,3.265,1D,[1.8-2.0),[0.2-0.3),[200-300),[0.0-0.1),[1.6-2.2),[6.5-7.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REJLIE
WAVCII,2017,0.982,0.336,528.98,0.277,2.12,5.99,2.825,1D,[0.8-1.0),[0.3-0.4),[500-600),[0.2-0.3),[1.6-2.2),[5.6-6.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAVCII
YEFZER,2017,1.468,0.293,163.47,0.156,2.13,6.03,2.831,1D,[1.4-1.5),[0.2-0.3),[150-200),[0.1-0.2),[1.6-2.2),[6.0-6.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEFZER
LEHTUQ,2017,1.434,0.147,4.19,0.071,2.15,4.3,2,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEHTUQ
DEBJEC,2017,1.402,0.228,1.58,0.107,2.17,4.09,1.885,2D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEBJEC
QASTUC,2017,1.125,0.358,270.3,0.243,2.17,5.02,2.313,2D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QASTUC
SELPEH,2017,1.218,0.231,77.75,0.141,2.17,4.63,2.134,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SELPEH
CASDAE,2017,1.216,0.16,12.59,0.077,2.18,4.36,2,2D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CASDAE
LESHID,2017,1.453,0.178,26.84,0.102,2.18,4.37,2.005,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LESHID
ZAYTEB,2017,1.427,0.451,69.35,0.278,2.18,4.35,1.995,1D,[1.4-1.5),[0.4-0.5),[50-100),[0.2-0.3),[1.6-2.2),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAYTEB
TAZWEZ,2017,1.562,0.189,2.16,0.072,2.19,4.13,1.886,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAZWEZ
WAYWUR,2017,1.328,0.274,70.41,0.158,2.19,4.37,1.995,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAYWUR
JAQCAI,2017,1.51,0.094,68.46,0.058,2.2,5.56,2.527,1D,[1.5-1.6),[0.0-0.1),[50-100),[0.0-0.1),[2.2-2.6),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JAQCAI
RAMRIJ,2017,1.346,0.25,19.1,0.155,2.21,4.42,2,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAMRIJ
SAHYOS,2017,1.334,0.259,17.69,0.125,2.22,4.44,2,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAHYOS
MAXWUG,2017,1.258,0.22,7.27,0.125,2.23,4.21,1.888,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAXWUG
JEDKIP,2017,1.351,0.238,9.88,0.205,2.25,4.25,1.889,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.2-4.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEDKIP
PALRUS,2017,1.363,0.25,33.61,0.133,2.25,4.5,2,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PALRUS
DECZIX,2017,1.316,0.276,24.03,0.148,2.27,4.28,1.885,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DECZIX
ADECAQ,2017,1.336,0.192,13.15,0.119,2.28,4.3,1.886,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADECAQ
ZATNIU,2017,2.006,0.181,23.78,0.06,2.28,4.57,2.004,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATNIU
CASCUX,2017,1.175,0.24,185.31,0.151,2.28,4.88,2.14,1D,[1.1-1.2),[0.2-0.3),[150-200),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CASCUX
RAMROP,2017,1.424,0.245,11.86,0.147,2.29,4.32,1.886,2D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAMROP
WECPEC,2017,1.318,0.258,3.75,0.123,2.29,4.09,1.786,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECPEC
FEKPET,2017,2.162,0.214,27.66,0.078,2.31,4.35,1.883,1D,[2.0-7.0],[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEKPET
JEPNOK,2017,1.23,0.198,5.52,0.124,2.31,4.14,1.792,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEPNOK
REKBAN,2017,1.43,0.179,22.59,0.078,2.31,4.36,1.887,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REKBAN
SEDSOM,2017,1.611,0.15,64.17,0.083,2.31,4.94,2.139,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[2.2-2.6),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEDSOM
ZELHEG,2017,1.268,0.363,67.47,0.217,2.31,4.35,1.883,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZELHEG
SAZQES,2017,1.678,0.242,3.32,0.145,2.32,4.16,1.793,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAZQES
NANNEY,2017,1.289,0.191,41.94,0.106,2.34,4.69,2.004,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NANNEY
IBOQAU,2017,1.251,0.325,96.18,0.185,2.34,4.67,1.996,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBOQAU
NANNAU,2017,1.299,0.189,36.18,0.104,2.35,4.7,2,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NANNAU
KAPHUH,2017,1.095,0.34,98.28,0.27,2.36,4.72,2,1D,[1.0-1.1),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAPHUH
QEBFUB,2017,1.216,0.249,33.12,0.149,2.37,4.23,1.785,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QEBFUB
XASVEV01,2017,1.148,0.218,11.98,0.107,2.37,4.25,1.793,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASVEV01
RAMRUV,2017,1.354,0.258,6.98,0.163,2.38,4.27,1.794,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAMRUV
LEDHUA,2017,1.386,0.183,6.18,0.083,2.39,4.27,1.787,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEDHUA
SANFEV,2017,1.329,0.242,1.73,0.106,2.4,4.1,1.708,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SANFEV
PANYEL,2017,1.392,0.28,38.32,0.14,2.41,4.54,1.884,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.5-4.6),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PANYEL
XEFHAU,2017,1.272,0.3,49.2,0.17,2.41,4.54,1.884,1D,[1.2-1.3),[0.3-0.4),[0-50),[0.1-0.2),[2.2-2.6),[4.5-4.6),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEFHAU
ECETAK,2017,1.399,0.262,29.14,0.151,2.42,4.32,1.785,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.3-4.4),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ECETAK
BAPMOX,2017,2.008,0.336,75.14,0.164,2.43,4.86,2,2D,[2.0-7.0],[0.3-0.4),[50-100),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAPMOX
NAWRIP,2017,1.292,0.185,52.33,0.092,2.43,4.58,1.885,1D,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[2.2-2.6),[4.5-4.6),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAWRIP
TAZXAW,2017,1.282,0.315,63.34,0.186,2.44,4.6,1.885,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAZXAW
ZAXRAU,2017,1.258,0.342,75.9,0.2,2.44,4.6,1.885,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAXRAU
SALSEG,2017,1.242,0.42,209.71,0.343,2.45,4.62,1.886,1D,[1.2-1.3),[0.4-0.5),[200-300),[0.3-0.4),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SALSEG
LEDQOD,2017,1.221,0.233,45.91,0.136,2.47,4.42,1.789,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEDQOD
ZAXQOH,2017,1.26,0.347,83.61,0.204,2.47,4.65,1.883,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAXQOH
MAPHAP,2017,1.631,0.299,5.55,0.127,2.48,4.23,1.706,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAPHAP
BAVWED,2017,1.436,0.241,164.47,0.13,2.48,4.96,2,1D,[1.4-1.5),[0.2-0.3),[150-200),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAVWED
CAVGAK,2017,1.33,0.236,20.2,0.122,2.5,4.26,1.704,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAVGAK
RAMSAC,2017,1.357,0.258,10.66,0.167,2.5,4.26,1.704,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAMSAC
XAYVIF,2017,1.346,0.126,37.91,0.065,2.5,5,2,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAYVIF
XASVEV,2017,1.089,0.241,34.47,0.12,2.51,4.48,1.785,1D,[1.0-1.1),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XASVEV
BARBEE,2017,1.286,0.231,111.89,0.13,2.51,5.02,2,1D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BARBEE
HEHVOI,2017,1.622,0.232,192.16,0.107,2.51,6.68,2.661,3D,[1.6-1.8),[0.2-0.3),[150-200),[0.1-0.2),[2.2-2.6),[6.5-7.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEHVOI
KARJIZ,2017,1.333,0.227,20.6,0.13,2.52,4.29,1.702,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KARJIZ
JAKQOE,2017,1.372,0.338,208.74,0.194,2.52,5.38,2.135,2D,[1.3-1.4),[0.3-0.4),[200-300),[0.1-0.2),[2.2-2.6),[5.3-5.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JAKQOE
SAWKUZ,2017,1.265,0.154,0.75,0.086,2.54,4.14,1.63,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWKUZ
NEPGAT,2017,1.787,0.271,112.99,0.138,2.55,5.09,1.996,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[5.0-5.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEPGAT
RAWFAZ,2017,1.259,0.405,194.74,0.201,2.56,5.12,2,1D,[1.2-1.3),[0.4-0.5),[150-200),[0.2-0.3),[2.2-2.6),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAWFAZ
SAWLAG,2017,1.258,0.161,1.93,0.095,2.57,4.2,1.634,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWLAG
SAWLIO,2017,1.257,0.162,1.93,0.093,2.57,4.19,1.63,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWLIO
SAWMEL,2017,1.256,0.163,2.14,0.094,2.57,4.19,1.63,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWMEL
CEJCIG,2017,2.036,0.236,94.4,0.092,2.57,4.84,1.883,1D,[2.0-7.0],[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[4.8-5.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CEJCIG
SAWLEK,2017,1.255,0.163,2.14,0.091,2.58,4.21,1.632,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWLEK
ZATNEQ,2017,1.602,0.22,10.18,0.102,2.58,4.21,1.632,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATNEQ
FEBGEB,2017,1.6,0.195,128.01,0.097,2.58,5.52,2.14,1D,[1.6-1.8),[0.1-0.2),[100-150),[0.0-0.1),[2.2-2.6),[5.3-5.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEBGEB
LENTOQ,2017,1.204,0.235,59.44,0.15,2.58,4.62,1.791,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LENTOQ
OCEYON,2017,0.93,0.381,57.89,0.272,2.58,4.21,1.632,1D,[0.8-1.0),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OCEYON
GECROY,2017,1.716,0.207,4.32,0.099,2.59,4.23,1.633,3D,[1.6-1.8),[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GECROY
GEGPIU04,2017,1.889,0.252,0.36,0.108,2.59,4.06,1.568,1D,[1.8-2.0),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEGPIU04
GEGQER,2017,1.891,0.253,0.36,0.106,2.59,4.06,1.568,1D,[1.8-2.0),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEGQER
GEKFIO,2017,1.382,0.25,39.37,0.095,2.59,4.64,1.792,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEKFIO
GEGPIU06,2017,1.886,0.254,0.85,0.11,2.6,4.08,1.569,1D,[1.8-2.0),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEGPIU06
PANRAA,2017,1.082,0.347,140.69,0.268,2.6,4.44,1.708,2D,[1.0-1.1),[0.3-0.4),[100-150),[0.2-0.3),[2.6-3.0),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PANRAA
FESCIS,2017,1.371,0.368,154.91,0.259,2.6,4.44,1.708,3D,[1.3-1.4),[0.3-0.4),[150-200),[0.2-0.3),[2.6-3.0),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FESCIS
GEGPIU05,2017,1.887,0.255,0.92,0.109,2.61,4.09,1.567,1D,[1.8-2.0),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEGPIU05
GEGPIU07,2017,1.882,0.259,1.11,0.109,2.61,4.1,1.571,2D,[1.8-2.0),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEGPIU07
WEHRAF,2017,1.275,0.178,32.29,0.1,2.61,4.26,1.632,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[2.6-3.0),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEHRAF
OBURUB,2017,1.147,0.349,108.02,0.227,2.61,4.67,1.789,2D,[1.1-1.2),[0.3-0.4),[100-150),[0.2-0.3),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBURUB
DAWKEU,2017,1.383,0.1,7.27,0.048,2.62,4.28,1.634,1D,[1.3-1.4),[0.0-0.1),[0-50),[0.0-0.1),[2.6-3.0),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAWKEU
ECONUI,2017,1.17,0.354,13.56,0.234,2.64,4.32,1.636,2D,[1.1-1.2),[0.3-0.4),[0-50),[0.2-0.3),[2.6-3.0),[4.3-4.4),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ECONUI
GOJSED03,2017,0.974,0.418,31.26,0.366,2.64,4.31,1.633,1D,[0.8-1.0),[0.4-0.5),[0-50),[0.3-0.4),[2.6-3.0),[4.3-4.4),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GOJSED03
